ATL,BAL,BUF,CLE,DAL,DEN,DET,GB,HOU,IND,KC,LAC,LAR,MIA,MIN,NO,NYJ,PHI,PIT,SF,SEA,TB,WAS
16.0,9.0,8.0,16.0,2.0,16.0,4.0,16.0,6.0,10.0,1,16.0,16.0,7.0,16.0,16.0,16.0,5.0,16.0,3.0,16.0,16.0,16.0
16.0,16.0,4.0,10.0,16.0,16.0,16.0,8.0,3.0,16.0,1,7.0,16.0,16.0,6.0,2.0,16.0,9.0,16.0,16.0,16.0,5.0,16.0
10.0,16.0,2.0,16.0,16.0,16.0,4.0,7.0,16.0,16.0,3,16.0,16.0,16.0,1.0,16.0,9.0,5.0,8.0,16.0,6.0,16.0,16.0
10.0,5.0,6.0,16.0,16.0,16.0,2.0,16.0,9.0,16.0,3,16.0,16.0,16.0,1.0,16.0,16.0,16.0,16.0,4.0,8.0,7.0,16.0
6.0,5.0,16.0,16.0,10.0,16.0,3.0,9.0,2.0,16.0,2,16.0,16.0,16.0,1.0,16.0,16.0,16.0,16.0,16.0,7.0,8.0,4.0
8.0,4.0,9.0,16.0,16.0,16.0,1.0,7.0,3.0,16.0,2,16.0,16.0,16.0,6.0,16.0,16.0,16.0,16.0,5.0,16.0,10.0,16.0
16.0,3.0,6.0,16.0,16.0,16.0,1.0,4.0,7.0,16.0,2,16.0,16.0,16.0,5.0,16.0,16.0,16.0,9.0,16.0,10.0,16.0,8.0
16.0,9.0,3.0,16.0,16.0,10.0,1.0,5.0,6.0,16.0,2,16.0,16.0,16.0,16.0,16.0,16.0,4.0,7.0,16.0,16.0,16.0,8.0
8.0,3.0,4.0,16.0,16.0,16.0,1.0,10.0,16.0,16.0,2,9.0,16.0,16.0,7.0,16.0,16.0,5.0,16.0,16.0,16.0,16.0,6.0
16.0,3.0,4.0,16.0,16.0,16.0,1.0,16.0,10.0,16.0,2,9.0,16.0,16.0,8.0,16.0,16.0,5.0,6.0,7.0,16.0,16.0,16.0
16.0,6.0,2.0,16.0,16.0,16.0,1.0,10.0,8.0,16.0,3,7.0,16.0,16.0,9.0,16.0,16.0,5.0,4.0,16.0,16.0,16.0,16.0
16.0,5.0,4.0,16.0,16.0,10.0,1.0,6.0,16.0,16.0,3,9.0,16.0,16.0,8.0,16.0,16.0,2.0,7.0,16.0,16.0,16.0,16.0
16.0,7.0,3.0,16.0,16.0,10.0,1.0,6.0,16.0,16.0,4,8.0,16.0,16.0,9.0,16.0,16.0,2.0,5.0,16.0,16.0,16.0,16.0
16.0,7.0,3.0,16.0,16.0,16.0,1.0,9.0,16.0,16.0,4,16.0,10.0,16.0,5.0,16.0,16.0,2.0,6.0,8.0,16.0,16.0,16.0
16.0,7.0,1.0,16.0,16.0,16.0,3.0,6.0,16.0,16.0,4,16.0,9.0,16.0,5.0,16.0,16.0,2.0,8.0,16.0,16.0,10.0,16.0
16.0,7.0,1.0,16.0,16.0,16.0,2.0,6.0,16.0,16.0,4,16.0,8.0,16.0,3.0,16.0,16.0,5.0,10.0,16.0,16.0,16.0,9.0
16.0,3.0,5.0,16.0,16.0,16.0,1.0,8.0,16.0,16.0,4,10.0,16.0,16.0,2.0,16.0,16.0,6.0,16.0,16.0,16.0,9.0,7.0
16.0,5.0,3.0,16.0,16.0,16.0,1.0,9.0,16.0,16.0,2,16.0,16.0,16.0,6.0,16.0,16.0,4.0,16.0,16.0,16.0,7.0,8.0
